title,purpose,category,officer_role,officer_name,officer_party
All-Party Parliamentary Group for Albania,To help bilateral relations between the UK and Albania and improve parliamentary relations.,Country,Co-Chair,Martin Vickers,Conservative
All-Party Parliamentary Group for Albania,To help bilateral relations between the UK and Albania and improve parliamentary relations.,Country,Treasurer,Lord Bowness,Conservative
All-Party Parliamentary Group for Albania,To help bilateral relations between the UK and Albania and improve parliamentary relations.,Country,Secretary,Baroness Barker,Liberal Democrat
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Country,Chair & Registered Contact,Andrew Bowie,Conservative
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Country,Vice Chair,Mr Roger Godsiff,Labour
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Country,Vice Chair,Lord Risby,Conservative
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Country,Vice Chair,Viscount Waverley,Crossbench
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Country,Vice Chair,Lord McInnes of Kilwinning,Conservative
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Country,Vice Chair,Baroness Northover,Liberal Democrat
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Country,Chair & Registered Contact,Chi Onwurah,Labour
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Country,Vice-Chair,Mr Laurence Robertson,Conservative
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Country,Co-Chair,Baroness Northover,Liberal Democrat
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Country,Co-Chair,Lord Hughes of Woodside,Labour
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Country,Co-Chair,Baroness Hooper,Conservative
Anguilla All-Party Parliamentary Group,To facilitate greater parliamentary awareness of the British overseas territory of Anguilla and to promote good relations in support of Anguilla's right to self-determination and prosperity.,Country,Chair & Registered Contact,Mike Gapes,The Independent Group for Change
Anguilla All-Party Parliamentary Group,To facilitate greater parliamentary awareness of the British overseas territory of Anguilla and to promote good relations in support of Anguilla's right to self-determination and prosperity.,Country,Co-Chair,Baroness Hooper,Conservative
Anguilla All-Party Parliamentary Group,To facilitate greater parliamentary awareness of the British overseas territory of Anguilla and to promote good relations in support of Anguilla's right to self-determination and prosperity.,Country,Vice Chair,Mr Tanmanjeet Singh Dhesi,Labour
Anguilla All-Party Parliamentary Group,To facilitate greater parliamentary awareness of the British overseas territory of Anguilla and to promote good relations in support of Anguilla's right to self-determination and prosperity.,Country,Vice Chair,Mr Philip Dunne,Conservative
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Country,Chair & Registered Contact,Mark Menzies,Conservative
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Country,Vice Chair,Christian Matheson,Labour
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Country,Vice Chair,Angus Brendan MacNeil,Scottish National Party
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Country,Vice Chair,Lord Faulkner of Worcester,Labour
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Country,Vice Chair,Lord Kilclooney,Crossbench
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Country,Vice Chair,Lord Addington,Liberal Democrat
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Country,Treasurer,Paul Farrelly,Labour
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Country,Chair & Registered Contact,Stephen Pound,Labour
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Country,Secretary,David Morris,Conservative
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Country,Treasurer,Angus Brendan MacNeil,Scottish National Party
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Country,Vice Chair,Mr John Whittingdale,Conservative
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Country,Vice Chair,Baroness Cox,Crossbench
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Country,Vice Chair,Lord Mann,Non-affiliated
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Country,Vice Chair,Ruth Cadbury,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Chair & Registered Contact,Andrew Rosindell,Conservative
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Co-Chair,John Spellar,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Vice Chair,Sir Paul Beresford,Conservative
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Vice Chair,Mr Roger Godsiff,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Vice Chair,Nigel Dodds,Democratic Unionist Party
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Vice Chair,Lord Balfe,Conservative
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Vice Chair,Viscount Simon,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Vice Chair,Baroness Golding,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Vice Chair,Deidre Brock,Scottish National Party
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Vice Chair,Michelle Donelan,Conservative
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Vice Chair,Catherine West,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Vice Chair,Lord Purvis of Tweed,Liberal Democrat
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Vice Chair,Lord Chidgey,Liberal Democrat
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Treasurer,Lord Faulkner of Worcester,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country,Secretary,Martin Vickers,Conservative
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Country,Chair & Registered Contact,Sir Peter Bottomley,Conservative
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Country,Co-Chair,Lord Anderson of Swansea,Labour
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Country,Vice Chair,Stephen Gethins,Scottish National Party
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Country,Vice Chair,Lord Dubs,Labour
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Country,Vice Chair,Baroness Rawlings,Conservative
All-Party Parliamentary Group on Azerbaijan,To develop good relations between the legislatures and governments of our two countries.,Country,Chair & Registered Contact,Bob Blackman,Conservative
All-Party Parliamentary Group on Azerbaijan,To develop good relations between the legislatures and governments of our two countries.,Country,Vice Chair,Lord Kilclooney,Crossbench
All-Party Parliamentary Group on Azerbaijan,To develop good relations between the legislatures and governments of our two countries.,Country,Vice Chair,David Duguid,Conservative
All-Party Parliamentary Group on Azerbaijan,To develop good relations between the legislatures and governments of our two countries.,Country,Vice Chair,Martin Vickers,Conservative
All-Party Parliamentary Group on Azerbaijan,To develop good relations between the legislatures and governments of our two countries.,Country,Secretary,Mr Roger Godsiff,Labour
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Country,Chair & Registered Contact,Bob Stewart,Conservative
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Country,Vice Chair,Lord Richards of Herstmonceux,Crossbench
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Country,Vice Chair,Afzal Khan,Labour
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Country,Vice Chair,Adam Holloway,Conservative
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Country,Vice Chair,Jamie Stone,Liberal Democrat
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Country,Vice Chair,Lord Jordan,Labour
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Country,Vice Chair,John Spellar,Labour
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Country,Vice Chair,Sir Peter Bottomley,Conservative
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Country,Vice Chair,Sir Jeffrey M. Donaldson,Democratic Unionist Party
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Country,Secretary,David Morris,Conservative
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Country,Treasurer,Lord Kilclooney,Crossbench
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Country,Chair & Registered Contact,Mrs Anne Main,Conservative
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Country,Vice Chair,Jim Fitzpatrick,Labour
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Country,Vice Chair,Rushanara Ali,Labour
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Country,Vice Chair,Paul Scully,Conservative
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Country,Vice Chair,Jonathan Reynolds,Labour (Co-op)
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Country,Vice Chair,Nic Dakin,Labour
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Country,Vice Chair,Lord Sheikh,Conservative
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Country,Vice Chair,Viscount Waverley,Crossbench
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Country,Vice Chair,Lord Bilimoria,Crossbench
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Country,Vice Chair,Jim Shannon,Democratic Unionist Party
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Country,Chair & Registered Contact,Mr John Whittingdale,Conservative
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Country,Vice Chair,Lord Balfe,Conservative
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Country,Vice Chair,Wayne David,Labour
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Country,Treasurer,Lord Bowness,Conservative
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Country,Secretary,Stephen Pound,Labour
All-Party Parliamentary Group on Belgium,"To consolidate and strengthen cultural, economic, political and social ties between the United Kingdom and Belgium and foster positive relations post Brexit.",Country,Vice Chair,Mike Hill,Labour
All-Party Parliamentary Group on Belgium,"To consolidate and strengthen cultural, economic, political and social ties between the United Kingdom and Belgium and foster positive relations post Brexit.",Country,Vice Chair,Mike Gapes,The Independent Group for Change
All-Party Parliamentary Group on Belgium,"To consolidate and strengthen cultural, economic, political and social ties between the United Kingdom and Belgium and foster positive relations post Brexit.",Country,Secretary,Andrew Bowie,Conservative
All-Party Parliamentary Group on Belgium,"To consolidate and strengthen cultural, economic, political and social ties between the United Kingdom and Belgium and foster positive relations post Brexit.",Country,Treasurer,Stephen Kerr,Conservative
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Country,Chair & Registered Contact,Bob Stewart,Conservative
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Country,President,Lord Foulkes of Cumnock,Labour
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Country,Vice President,Lord Robathan,Conservative
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Country,Vice Chair,Wayne David,Labour
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Country,Vice Chair,Adam Holloway,Conservative
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Country,Vice Chair,Lord Rogan,Ulster Unionist Party
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Country,Vice Chair,Lord Kilclooney,Crossbench
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Country,Vice Chair,Lord Watts,Labour
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Country,Vice Chair,Faisal Rashid,Labour
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Country,Vice Chair,Kerry McCarthy,Labour
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Country,Vice Chair,David T. C. Davies,Conservative
All-Party Parliamentary Group for Bermuda,To improve links and mutual understanding between Britain and Bermuda.,Country,Chair & Registered Contact,Sir David Amess,Conservative
All-Party Parliamentary Group for Bermuda,To improve links and mutual understanding between Britain and Bermuda.,Country,Vice-Chair,Andrew Rosindell,Conservative
All-Party Parliamentary Group for Bermuda,To improve links and mutual understanding between Britain and Bermuda.,Country,Vice-Chair,Lord Balfe,Conservative
All-Party Parliamentary Group for Bermuda,To improve links and mutual understanding between Britain and Bermuda.,Country,Vice-Chair,Lord Tope,Liberal Democrat
All-Party Parliamentary Group for Bermuda,To improve links and mutual understanding between Britain and Bermuda.,Country,Vice-Chair,Baroness Hooper,Conservative
All-Party Parliamentary Group for Bermuda,To improve links and mutual understanding between Britain and Bermuda.,Country,Vice-Chair,Sir David Crausby,Labour
All-Party Parliamentary Group for Bermuda,To improve links and mutual understanding between Britain and Bermuda.,Country,Vice-Chair,Bob Stewart,Conservative
All-Party Parliamentary Group for Bermuda,To improve links and mutual understanding between Britain and Bermuda.,Country,Secretary,Mark Pritchard,Conservative
All-Party Parliamentary Group for Bermuda,To improve links and mutual understanding between Britain and Bermuda.,Country,Officer,Viscount Waverley,Crossbench
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Country,Chair & Registered Contact,Mr Roger Godsiff,Labour
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Country,Vice-Chair,Andrew Rosindell,Conservative
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Country,Vice-Chair,Lord Jones of Cheltenham,Liberal Democrat
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Country,Vice-Chair,Lord Chidgey,Liberal Democrat
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Country,Vice-Chair,John Spellar,Labour
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Country,Vice-Chair,Lord Steel of Aikwood,Liberal Democrat
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Country,Vice-Chair,Baroness Barker,Liberal Democrat
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Country,Vice-Chair,Chris Stephens,Scottish National Party
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Country,Vice-Chair,James Duddridge,Conservative
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Country,Vice-Chair,Lord Mann,Non-affiliated
All-Party Parliamentary Brazil Group,To foster good relations between the UK and Brazil and to act as a platform for discussion on issues of importance to the Brazil-UK relationship.,Country,Chair & Registered Contact,Mr Mark Prisk,Conservative
All-Party Parliamentary Brazil Group,To foster good relations between the UK and Brazil and to act as a platform for discussion on issues of importance to the Brazil-UK relationship.,Country,Co-Chair,Baroness Hooper,Conservative
All-Party Parliamentary Brazil Group,To foster good relations between the UK and Brazil and to act as a platform for discussion on issues of importance to the Brazil-UK relationship.,Country,Treasurer,Daniel Kawczynski,Conservative
All-Party Parliamentary Brazil Group,To foster good relations between the UK and Brazil and to act as a platform for discussion on issues of importance to the Brazil-UK relationship.,Country,Secretary,Lord Purvis of Tweed,Liberal Democrat
All-Party Parliamentary Brazil Group,To foster good relations between the UK and Brazil and to act as a platform for discussion on issues of importance to the Brazil-UK relationship.,Country,Vice Chair,Greg Hands,Conservative
All-Party Parliamentary Brazil Group,To foster good relations between the UK and Brazil and to act as a platform for discussion on issues of importance to the Brazil-UK relationship.,Country,Vice Chair,John Spellar,Labour
All-Party Parliamentary Brazil Group,To foster good relations between the UK and Brazil and to act as a platform for discussion on issues of importance to the Brazil-UK relationship.,Country,Vice Chair,Graham P Jones,Labour
All-Party Parliamentary Group on Democracy in Burma,To provide democratic change in Burma.,Country,Chair & Registered Contact,Rushanara Ali,Labour
All-Party Parliamentary Group on Democracy in Burma,To provide democratic change in Burma.,Country,Co-Chair,Paul Scully,Conservative
All-Party Parliamentary Group on Democracy in Burma,To provide democratic change in Burma.,Country,Vice-Chair,Lord Alton of Liverpool,Crossbench
All-Party Parliamentary Group on Democracy in Burma,To provide democratic change in Burma.,Country,Vice-Chair,Baroness Goudie,Labour
All-Party Parliamentary Group on Democracy in Burma,To provide democratic change in Burma.,Country,Vice-Chair,Baroness Northover,Liberal Democrat
Cambodia All-Party Parliamentary Group,To promote friendship and understanding between the people of Cambodia and the UK.,Country,Chair & Registered Contact,Ann Clwyd,Labour
Cambodia All-Party Parliamentary Group,To promote friendship and understanding between the people of Cambodia and the UK.,Country,Vice Chair,Nic Dakin,Labour
Cambodia All-Party Parliamentary Group,To promote friendship and understanding between the people of Cambodia and the UK.,Country,Vice Chair,Mr Edward Vaizey,Conservative
Cambodia All-Party Parliamentary Group,To promote friendship and understanding between the people of Cambodia and the UK.,Country,Vice Chair,Sarah Champion,Labour
Cambodia All-Party Parliamentary Group,To promote friendship and understanding between the people of Cambodia and the UK.,Country,Vice Chair,Lord Jopling,Conservative
Cambodia All-Party Parliamentary Group,To promote friendship and understanding between the people of Cambodia and the UK.,Country,Vice Chair,Lord Kilclooney,Crossbench
All-Party Parliamentary Group on Cameroon,To explore issues regarding the Republic of Cameroon.,Country,Chair & Registered Contact,Tonia Antoniazzi,Labour
All-Party Parliamentary Group on Cameroon,To explore issues regarding the Republic of Cameroon.,Country,Co-Chair,Lord Boateng,Labour
All-Party Parliamentary Group on Cameroon,To explore issues regarding the Republic of Cameroon.,Country,Vice Chair,Sir Jeffrey M. Donaldson,Democratic Unionist Party
All-Party Parliamentary Group on Cameroon,To explore issues regarding the Republic of Cameroon.,Country,Vice Chair,Eleanor Smith,Labour
All-Party Parliamentary Group on Cameroon,To explore issues regarding the Republic of Cameroon.,Country,Vice Chair,Joan Ryan,The Independent Group for Change
All-Party Parliamentary Group on Cameroon,To explore issues regarding the Republic of Cameroon.,Country,Vice Chair,Philip Davies,Conservative
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Country,Chair & Registered Contact,Andrew Rosindell,Conservative
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Country,Co-Chair,John Howell,Conservative
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Country,Vice Chair,Lord Purvis of Tweed,Liberal Democrat
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Country,Vice Chair,Mr Roger Godsiff,Labour
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Country,Vice Chair,Lord Balfe,Conservative
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Country,Vice Chair,Lord Foulkes of Cumnock,Labour
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Country,Vice Chair,Baroness Northover,Liberal Democrat
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Country,Vice Chair,John Spellar,Labour
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Country,Vice Chair,Chris Law,Scottish National Party
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Country,Vice Chair,Nigel Dodds,Democratic Unionist Party
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Country,Vice Chair,Lord Chidgey,Liberal Democrat
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Country,Vice Chair,John Grogan,Labour
