title,purpose,category
All-Party Parliamentary Group for Kazakhstan,To increase parliamentary knowledge about Kazakhstan.,Country
All-Party Parliamentary Kenya Group,To bring together Members of both Houses of Parliament to discuss issues relating to Kenya.,Country
All-Party Parliamentary Group on Kosovo,"To promote dialogue and understanding between the UK and Kosovo, build relationships with the Council of Europe and promote Kosovo as a place of interest.",Country
All-Party Parliamentary Group for the Kurdistan Region in Iraq,To promote friendship and understanding between the peoples and representatives of the Kurdistan Region in Iraq and the UK.,Country
All-Party Parliamentary Group on Kuwait,To foster good relations with Kuwait and to build a greater understanding in Parliament of Kuwait and its role in the Middle East region.,Country
All-Party Parliamentary Group for Kyrgyzstan,To increase parliamentary knowledge on the country of Kyrgyzstan.,Country
All-Party Parliamentary Group on Latin America,To foster good relations between parliamentarians from Britain and parliamentarians from Latin American countries.,Country
All-Party Parliamentary Group for Lebanon,To provide support and understanding for Lebanon.,Country
British-Liechtenstein All-Party Parliamentary Group,To foster good relations between parliamentarians of both countries and better mutual understanding of each.,Country
All-Party Parliamentary Group on Lithuania,To strengthen relations between the UK and Lithuania and to build parliamentary links.,Country
All-Party Parliamentary Group on Luxembourg,"To consolidate and strengthen cultural, economic, political and social ties between the United Kingdom and Luxembourg and foster positive relations post-Brexit.",Country
All-Party Parliamentary Group for Madagascar,To foster good bilateral relations between the UK and Madagascar.,Country
All-Party Parliamentary Group on Malawi,"To promote understanding and awareness among parliamentarians, positive relations between our countries, and provide a forum for discussion on relevant issues affecting politics, society, culture and the economy in Malawi.",Country
All-Party Parliamentary Group for Malaysia,To further relations between Malaysia and the UK Parliament.,Country
All-Party British-Maldives Parliamentary Group,"To raise awareness of key issues in the Maldives including environmental, educational, political and social issues and problems facing the country.",Country
All-Party Parliamentary Group for Malta,To foster good relations and develop greater understanding of the island of Malta and Maltese nationals living in the UK.,Country
All-Party Parliamentary Group on Mexico,"To keep Mexico on the political agenda of the UK parliament and to strengthen the relationship in a number of different ways, including human rights, democracy, good governance and economic development.",Country
All-Party Parliamentary Group on Moldova,To build relations between the UK and Moldova and to strengthen parliamentary links.,Country
All-Party Parliamentary Group on Mongolia,To enhance links between the UK and Mongolia and pursue the aim of the Parliamentary co-operation agreement.,Country
All-Party Parliamentary Group for Montenegro,To help bilateral relations between the UK and Montenegro and improve parliamentary relations.,Country
British-Montserrat All-Party Parliamentary Group,To foster links between the UK and Montserrat and improve the quality of life of citizens of Montserrat.,Country
All-Party Parliamentary Group on Morocco,"To promote good relations between the United Kingdom and the Kingdom of Morocco, particularly the respective parliamentary assemblies, within the framework of the Inter-Parliamentary Union.",Country
All-Party Parliamentary Group on Mozambique,To build a greater understanding in Parliament of Mozambique and its regional and international roles.,Country
Nepal All-Party Parliamentary Group,To encourage good relations between Britain and Nepal.,Country
Netherlands All-Party Parliamentary Group,To promote good relations between the parliaments and peoples of the UK and the Netherlands.,Country
All-Party Parliamentary Group on Nigeria,To create a better understanding of issues relating to Nigeria; to promote links between the UK and Nigeria; and to support development and democracy in Nigeria.,Country
United Kingdom-Norfolk Island All-Party Parliamentary Group,To promote and strengthen the historic ties between the people of the United Kingdom of Great Britain & Northern Ireland and the people of Norfolk Island.,Country
All-Party Parliamentary Group for North Korea,"To formulate solutions that promote and support human rights, democracy and security in the Democratic People's Republic of Korea; to establish relations with the exiled North Korean community to foster understanding of the DPRK and the challenges which face its people; and to explore meaningful relations between the parliaments of the UK and the DPRK.",Country
All-Party Parliamentary Group for North Macedonia,To help bilateral relations between the UK and North Macedonia and improve parliamentary relations.,Country
All-Party Parliamentary British-Norwegian Group,To promote relations between the UK and Norway.,Country
All-Party Parliamentary Group on Oman,To promote further understanding and good relations between the United Kingdom and the Sultanate of Oman.,Country
United Kingdom Overseas Territories All-Party Parliamentary Group,To foster good relations between the British Overseas Territories and Parliament.,Country
British-Pacific Islands All-Party Parliamentary Group,To encourage political interest in the South Pacific and to meet with politicians from that area who are visiting the UK.,Country
All-Party Parliamentary Group on Pakistan,To provide a forum to discuss all matters related to Pakistan and also pertinent issues related to Pakistanis living in the UK.,Country
Britain-Palestine All-Party Parliamentary Group,To foster good relations and understanding between Britain and Palestine and to promote a just and lasting peace in the Middle East.,Country
All-Party Parliamentary Group on Peru,To enhance links between the UK and Peru.,Country
All-Party Parliamentary Group for the Philippines,To foster relations between the United Kingdom and the Philippines.,Country
Pitcairn Islands All-Party Parliamentary Group,To promote the Pitcairn Islands as a British overseas territory.,Country
All-Party Parliamentary Group on Poland,To foster the good relationship between Poland and the UK and to promote the Polish contribution to the UK.,Country
All-Party Parliamentary Group for the Polar Regions,To inform parliamentarians on all matters relating to the Arctic and Antarctic regions.,Country
All-Party Parliamentary Group on Portugal,To increase awareness amongst MP's and Peers of the political situation in Portugal; to host meetings to enable MP's and Peers to meet Portuguese parliamentarians; and generally to improve the relations between the UK and Portugal.,Country
All-Party Parliamentary British-Qatar Group,To foster good relations between the UK and Qatar.,Country
All-Party Parliamentary Group for Rojava (Democratic Federation of Northern Syria),"To raise the condition of the Kurdish people in Rojava. To raise awareness of solidarity and engagement for building democratic, free relationships by encouraging dialogue and discussion.  To support efforts of developing and consolidating democracy, peaceful co-existence and harmony in the region.  To organise cultural and social events, workshops and seminars to raise awareness of solidarity, development and the needs of the region.",Country
All-Party Parliamentary Group for Romania,To promote better relations between the UK and Romania and between their parliaments.,Country
All-Party Parliamentary Group on Russia,To promote good relations between the parliaments and peoples of the UK and the Russia.,Country
All-Party Parliamentary Group on Rwanda,To promote good relations between the UK and Rwanda.,Country
All-Party Parliamentary Group on Saudi Arabia,"To encourage and develop diplomatic, cultural and social exchanges between the Royal Kingdom of Saudi Arabia and the UK with the aim of achieving greater understanding and fostering mutual respect.",Country
All-Party Parliamentary Group for Serbia,To foster the good relationship between Serbia and the UK and promote the Serbian contribution to the UK.,Country
All-Party Parliamentary Group on Singapore,To promote and advance relations with Singapore.,Country
All-Party Parliamentary British-Slovenia Group,To strengthen ties between Britain and Slovenia and celebrate our cultural and political heritage.,Country
All-Party Parliamentary Group on Somaliland,"To promote understanding of and support for Somaliland's achievements in building peace, democratic governance and a sovereign state in the Horn of Africa, its important role in combatting terrorism and piracy in the region and beyond, and the need for continued UK assistance for Somaliland's development.",Country
All-Party Parliamentary Group on South Africa,To promote the good relationships between the UK and South Africa.,Country
British-Spanish All-Party Parliamentary Group,To promote good relations between the parliaments and peoples of the UK and Spain.,Country
All-Party Parliamentary Group on Sri Lanka,To further Anglo-Sri Lankan relations.,Country
St Helena All-Party Parliamentary Group,To promote and support St Helena as a UK overseas territory.,Country
All-Party Parliamentary Group for Sudan,To create a better understanding of issues relating to Sudan and build bilateral relationships between Sudan and the UK.,Country
All-Party Parliamentary Group for Sudan and South Sudan,"To influence the UK government's policy and practice by promoting the cause of peace, human rights, justice and development for all the people of Sudan and South Sudan across the political spectrum in Westminster and Whitehall.",Country
British-Swedish All-Party Parliamentary Group,"To promote relations between Britain and Sweden, their parliaments and people.",Country
British-Switzerland All-Party Parliamentary Group,To promote ever better relations between British and Swiss parliamentarians and foster an ever deeper understanding of our respective countries.,Country
All-Party Parliamentary Group on Syria,"To raise awareness in Parliament of the impact of the conflict, among people still in Syria and refugees. Also focused on civilian protection, the refugee crisis, and human rights.",Country
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Country
British-Tajikistan All-Party Parliamentary Group,To build relations between the UK and Tajikistan.,Country
All-Party Parliamentary Group on Thailand,To promote good UK and Thailand relations.,Country
All-Party Parliamentary Group for Tibet,"To put pressure on Her Majesty's Government to encourage negotiations between the Chinese Government and representatives of the Tibetan Government in exile, whilst recognising that Tibet is an occupied country which had independent ties with Britain.",Country
All-Party Parliamentary Group for Turkey,To foster and promote relations between the UK and Turkey and assist in public awareness of the developments that have been taking place in Turkey.,Country
All-Party Parliamentary Group Uganda,To monitor issues regarding Uganda.,Country
All-Party Parliamentary Group on Ukraine,To build relations between the UK and the Ukraine and to strengthen Parliamentary links.,Country
United Kingdom-United Arab Emirates All-Party Parliamentary Group,To promote good relations between the United Kingdom and the United Arab Emirates.,Country
All-Party Parliamentary Group on Uzbekistan,"To develop good relations between the people, legislatures and governments of our two countries.",Country
All-Party Parliamentary Group on Venezuela,"To ensure that Venezuela is on the political agenda of the UK Parliament and to strengthen UK policies addressing issues relating to human rights, democracy, good governance and economic development; to act as a channel for contacts with experts, NGOs and regional stakeholders; to establish relations with the Venezuelan community to foster understanding of Venezuela and the challenges which face its people.",Country
All-Party Parliamentary Group for Vietnam,"To conduct a dialogue with the socialist republic of Vietnam, in particular with the Vietnamese National Assembly and the Vietnamese ambassador and embassy in London, and to take an interest in the Vietnamese community in the UK.",Country
All-Party Parliamentary Group for the British Virgin Islands,To foster and improve relations between Parliament and the British Virgin Islands.,Country
All-Party Parliamentary Group on West Papua,To promote understanding of the situation in West Papua and the human rights of the West Papuan people.,Country
All-Party Parliamentary Group on Western Sahara,"To promote issues of mutual concern between British MPs and the Western Sahara, and ensure the subject is never far from the political agenda of the UK Parliament.",Country
All-Party Parliamentary Group on Yemen,To draw attention to issues impacting Yemen including the current civil war.,Country
All-Party Parliamentary Group on Zimbabwe,To support democratic governance in Zimbabwe and to foster good relations between Zimbabwe and the UK.,Country
All-Party Parliamentary Group for 22q11 Syndrome,"To increase recognition and understanding of the Syndrome across policy makers and the medical profession. Eventually aiming for, once diagnosed, life-long health strategy for sufferers.",Subject
All-Party Parliamentary Group on Acquired Brain Injury,"To raise awareness of Acquired Brain Injury (ABI) and seek improvements in support and services for people with ABI and their carers; to provide a voice for people with ABI in Parliament; and to raise issues across health, social care and welfare which affect people living with ABI.",Subject
All-Party Parliamentary Group for Adoption and Permanence,To amplify the voices and experiences of children and families engaged in adoption and other forms of permanence to inform parliamentarians and promote the development and implementation of effective policy and practice.  To provide an opportunity for the ambitious exploration of innovative solutions to enable adopted children and families to thrive.,Subject
All-Party Parliamentary Group for Adult Education,"To celebrate the contribution of adult education to the social, economic and cultural wellbeing of the UK and to develop new evidence to demonstrate its impact.",Subject
All-Party Parliamentary Group on Adult Social Care,"To act as a forum for members of the House of Commons and Lords to enagage with the wider adult social care sector, with the aim of engaging in a cross-party and non-partisan manner to influence government policy on the reform of the adult social care system.",Subject
All-Party Parliamentary Group for Adult Survivors of Childhood Sexual Abuse,To explore and identify the support and justice needs of adult survivors of childhood sexual abuse.,Subject
All-Party Parliamentary Group for the Prevention of Adverse Childhood Experiences,"To create practical action, both inside and outside Parliament, to identify and promote policies for the prevention of adverse childhood experiences.",Subject
All-Party Parliamentary Group on Aerospace,To promote awareness of all aspects of the British Aerospace sector in parliament and government.,Subject
All-Party Parliamentary Group for Ageing and Older People,To focus on current political and legislative issues before Parliament which affect older people.,Subject
All-Party Parliamentary Group on Agriculture and Food for Development,"To facilitate informed debate on food, agriculture and nutrition in the UK Parliament and engage with the Department for International Development, other donors and national governments on these issues.",Subject
All-Party Parliamentary Group on Agroecology for Sustainable Food and Farming,"Providing a forum for parliamentarians, leading academics, farmers and NGOs to look at how agroecology food and farming principles can offer economic viability and promote long-term environmental protection. Combining 21st century science with traditional farming techniques and knowledge, the APPG promotes a food chain for the 21st century.",Subject
All-Party Parliamentary Group for the Ahmadiyya Muslim Community,To promote in Parliament the Ahmadiyya Muslim community and advance their interests in the UK and abroad.,Subject
All-Party Parliamentary Group for Air Ambulances,Raising the quality of care and effectiveness of air ambulances for patients through engagement with political leaders and policy makers.,Subject
All-Party Parliamentary Group for Air Passenger Duty Reform,"To encourage the UK government to cut the UK's Air Passenger Duty rate, thereby allowing the UK to compete on a level playing field with out European counterparts, boosting tourism, trade, jobs and growth.",Subject
All-Party Parliamentary Group on Air Pollution,"To bring together parliamentarians, experts, and stakeholders to discuss and promote measures to tackle poor air quality; and to work to raise the profile of both the problem and its solutions in Parliament.",Subject
All-Party Parliamentary Group on Alcohol Harm,To promote discussion of alcohol related issues and to raise issues of concern and make recommendations to government and other policy makers.,Subject
All-Party Parliamentary Group for Alevis,"The APPG was established to recognise the important contribution that the Alevi community makes to British society; to ensure that British Alevis are represented in Parliament by giving them a platform to express their legitimate socio-political aspirations, so they achieve recognition for their rights and religion in Britain and overseas.",Subject
All-Party Parliamentary Group on Allergy,"To improve the lives of all people living with allergy across the UK; to improve National Health Service allergy services and allow greater access to existing services; to raise awareness of the condition, severity and prevalence and encourage greater understanding.",Subject
All-Party Parliamentary Group on Alternative Dispute Resolution,To help change the culture of dispute resolution in the country by providing a valuable forum within Parliament to discuss the latest development in Alternative Dispute Resolution and to promote its wider use.,Subject
All-Party Parliamentary Group on Alternative Investment Management,Raising awareness of the sector and its contribution to the UK economy; providing a forum to discuss development in investment strategy and the corresponding impact on UK pension endowments and direct lending; supporting the development of an effective and proportionate UK regulatory regime governing the industry.,Subject
All-Party Parliamentary Group on Alternative Lending,"To help legislators keep pace with a rapidly evolving sector, and help them understand the effects of change both on employers and consumers. To provide a forum where MPs and Peers can talk to lenders and ensure the market develops in harmony with policy.",Subject
All-Party Parliamentary Group for the UK Aluminium Industry,To work with the Aluminium Federation (The UK Aluminium Industry's Trade Association) to represent the UK aluminium industry.,Subject
All-Party Parliamentary Group for American Football,To support the sport of American football.,Subject
All-Party Parliamentary Group on Ancient Woodland and Veteran Trees,To raise awareness of the UK’s unique and irreplaceable ancient woodland habitat; to discuss the threats it faces and steps necessary to protect it; and to discuss how to better value and protect the nation’s veteran and special trees.,Subject
All-Party Parliamentary Angling Group,To promote angling and conservation.,Subject
All-Party Parliamentary Group for Animal Welfare,"To further the cause of animal welfare in Parliament by acting as a discussion forum for politicians and welfare experts to develop policy to improve welfare across the fields of the companion animals, farm animals, wild animals and animals used in science.",Subject
All-Party Parliamentary Group on Antibiotics,"To raise the profile of, and keep MPs and Peers informed about, antibiotic resistance and of new treatments.  To raise the profile of the need to preserve antibiotics through education on their appropriate use, including non-human uses.  To accelerate efforts to discover, research and develop new treatments, including new drugs.",Subject
All-Party Parliamentary Group Against Antisemitism,To combat antisemitism and help develop and seek implementation of effective public policy to combat antisemitism.,Subject
All-Party Parliamentary Group on Apprenticeships,"To provide a forum for parliamentarians and employers to discuss how to promote the role of high quality apprenticeships, how to ensure that apprenticeships serve as a pathway to a career and how the apprenticeship model can meet the changing skill demands from businesses.",Subject
All-Party Parliamentary Archaeology Group,To further the understanding of archaeology and promote archaeology and archaeological education.,Subject
All-Party Parliamentary Group on Archives and History,The promotion and understanding of matters related to archives and history.,Subject
All-Party Parliamentary Group for the Armed Forces,To promote better understanding of Her Majesty's Armed Forces in Parliament.,Subject
All-Party Parliamentary Group on the Armed Forces Covenant,To inform parliamentarians on all aspects of the Armed Forces Covenant and its implementation.,Subject
"All-Party Parliamentary Group for Art, Craft and Design in Education","The group believes that art, craft and design education is essential to the economy and to the cultural, spiritual, creative and social wellbeing of all; that it empowers individuals, enabling them to engage with our rich visual and cultural heritage, express themselves and become visually literate and perceptive, and that access to high quality art, craft and design education is an entitlement for everyone.",Subject
All-Party Parliamentary Group on Artificial Intelligence,To explore the impact and implications of artificial intelligence including machine learning.,Subject
The All-Party Parliamentary Arts and Heritage Group,To provide a focal point for MPs and Peers with an interest in arts and heritage; to further the appreciation of arts and heritage; and to act as a contact point between this sector and Parliament.,Subject
"All-Party Parliamentary Group on Arts, Health and Wellbeing","To enable backbench parliamentarians, of all parties and from both Houses, to be informed about significant practice in the field of arts, health and wellbeing; to provide a springboard for parliamentary action, such as debates and questions for oral and written answer and make policy recommendations.",Subject
All-Party Parliamentary Group for Assistive Technology,"To disseminate knowledge, generate debate and facilitate engagement on assistive technology amongst Members of both Houses of Parliament.",Subject
All-Party Parliamentary Group on Atrial Fibrillation,"To raise awareness of atrial fibrillation (AF) and ensure the diagnosis, management and treatment of AF is a priority of the NHS. To improve detection and management of AF in accordance with proven best practice.",Subject
All-Party Parliamentary Group for Attention Deficit Hyperactive Disorder,"To raise awareness of ADHD and its impact on those with the condition.  To help bring positive change to the lives of people living with ADHD. To share ideas, and act as a link between Parliament and organisations and charities involved with this issue.",Subject
All-Party Parliamentary Group on Autism,"To raise awareness of issues affecting people with autism and Asperger syndrome, their families and carers; to raise parliamentary awareness of autism; to campaign for changes to government policy to benefit people with autism and Asperger syndrome and improve diagnosis or support for people with autism and Asperger syndrome.",Subject
All-Party Parliamentary Group on Axial Spondyloarthritis,"To raise awareness of Axial Spondyloarthritis, including Ankylosing Spondylitis, and strive for improved outcomes for all those who are affected by the condition.",Subject
All-Party Parliamentary Group on Baby Loss,"To develop policy that supports families dealing with the grief and loss of a baby, and to raise awareness of what more can be done by the government, Parliament or other agencies to help those affected.",Subject
All-Party Parliamentary Group on the Bahá'í Faith,"To raise awareness on the Bahá'í faith and the efforts of the Bahá'í community to contribute to British society, and to seek action in respect of the persecution of Bahá'ís in Iran and other instances where Bahá'ís are subject to discrimination on the grounds of their faith.",Subject
All-Party Parliamentary Group on Baseball and Softball,To support the sport of baseball and softball at all levels.,Subject
All-Party Parliamentary Group on Basketball,To promote the development of the sport of basketball at all levels in the UK.,Subject
All-Party Parliamentary BBC Group,"To encourage debate and engage in discussion about all elements of the BBC, including the BBC world service and the BBC’s role within the creative industries.",Subject
"All-Party Parliamentary Group on Beauty, Aesthetics and Wellbeing","To provide a forum for parliamentary discussions on the issues around beauty.  To support the beauty industry, celebrate its economic contribution and discuss the challenges impacting the industry, particularly the need for more stringent regulations arounds cosmetic procedures.",Subject
All-Party Parliamentary Beer Group,"To promote the wholesomeness and enjoyment of beer and the unique role of the pub in UK society; to increase understanding of the social, cultural and historic role of brewing and pubs in the UK and their value to tourism; to broaden recognition of the contribution of brewing and pubs to employment and to the UK's economy; to promote understanding of the social responsibility exercised by the brewing and pub industries; to support the UK's brewing industry worldwide.",Subject
All-Party Parliamentary Group on Bees and Pollinators,"To inform parliamentarians about bees, other pollinators and beekeeping and to campaign and raise awareness of impacted issues.",Subject
All-Party Parliamentary Betting and Gaming Group,To act as a forum for the discussion of issues concerning betting and gaming in the UK.,Subject
All-Party Parliamentary Group on Bingo,To represent the interests of the bingo industry in Parliament.,Subject
"All-Party Parliamentary Group for Black, Asian and Minority Ethnic Business Owners","To bring together parliamentarians from all parties and both Houses with key players in Black, Asian and Minority Ethnic (BAME) businesses to promote the successful growth of BAME businesses across the UK.  A key aim is to promote an inclusive national strategy of policy, support and resources to enable the growth of BAME owned businesses for the benefit of the overall UK economy.",Subject
All-Party Parliamentary Group on Blockchain,"To ensure that the United Kingdom plays a key role in the potential opportunities that blockchain can unlock for our economy, society, governance and the provision of public services.",Subject
All-Party Parliamentary Group on Blood Cancer,"To raise awareness and promote the needs of blood cancer patients with Parliamentarians, government, NHS and charity stakeholders, and to create a forum for broader issues affecting blood cancer patients.",Subject
All-Party Parliamentary Group for Boxing,To engage with government and Parliament to support all aspects of boxing. To set out the benefits of boxing to individuals and wider society; reduce the barriers to participation in boxing; celebrate the success of our nation’s boxers; and highlight the potential for boxing to tackle urgent social needs in the UK.,Subject
All-Party Parliamentary Group for the Boys' Brigade,To support and promote the work of the Boys' Brigade.,Subject
All-Party Parliamentary Group on Brain Tumours,"To raise awareness of the issues facing the brain tumour community in order to improve research, diagnosis, information, support, treatment and care outcomes.",Subject
All-Party Parliamentary Group on Breast Cancer,"To raise the profile of breast cancer issues within parliament. The group provides a forum for MPs and Peers to discuss important issues affecting patients with breast cancer. It encourages dialogue between parliamentarians, government, the NHS and those living with or affected by the disease.",Subject
All-Party Parliamentary Bridge Group,"To develop an awareness of the benefits of bridge, with particular reference to the ways in which it can develop skills in young people, and help those who are retired or about to retire.",Subject
All-Party Parliamentary Group on Britain-Pakistan Trade and Tourism,To ensure that trade and relations between Britain and Pakistan are considered and promoted cross-party and across both Houses; and to advance the benefits of tourism between Pakistan and the UK.,Subject
All-Party Parliamentary Group for British Bioethanol,"To raise awareness of the industry, its economic impact, the supporting role it plays for British agriculture, and the environmental benefits of the bioethanol it produces. To promote the introduction of E10 fuel in the UK, help provide information and provide a greater understanding amongst parliamentarians and consumers.",Subject
