title,purpose,category,benefit_source,benefit_description,benefit_value_lower,benefit_value_higher,benefit_received,benefit_registered
All-Party Parliamentary Group for the Kurdistan Region in Iraq,To promote friendship and understanding between the peoples and representatives of the Kurdistan Region in Iraq and the UK.,Country,Gary Kent,Gary Kent is paid by Kar Group to act as the APPG's secretariat From 26/06/2019 To 25/06/2020,57001,58500,2019-06-26,2019-08-12
All-Party Parliamentary Group on Kuwait,To foster good relations with Kuwait and to build a greater understanding in Parliament of Kuwait and its role in the Middle East region.,Country,Kuwait National Assembly,"Visit to Kuwait From 06/11/2018 To 09/11/2018 Cost Met Air fares, transport, food and accommodation",15001,16500,2018-11-06,2018-12-05
All-Party Parliamentary Group on Latin America,To foster good relations between parliamentarians from Britain and parliamentarians from Latin American countries.,Country,Canning House,Secretariat From 04/07/2018 To 03/07/2019,1501,3000,2018-07-04,2018-10-30
All-Party Parliamentary Group for Lebanon,To provide support and understanding for Lebanon.,Country,Lebanese Parliament,Visit to Lebanon From 07/11/2018 To 10/11/2018,9001,10500,2018-11-07,2018-12-05
All-Party Parliamentary Group on Nigeria,To create a better understanding of issues relating to Nigeria; to promote links between the UK and Nigeria; and to support development and democracy in Nigeria.,Country,Chatham House,Secretariat From 11/07/2018 To 10/07/2019,9001,10500,2018-07-11,2018-11-06
Britain-Palestine All-Party Parliamentary Group,To foster good relations and understanding between Britain and Palestine and to promote a just and lasting peace in the Middle East.,Country,Council for Arab-British Understanding,Secretariat From 04/07/2018 To 03/07/2019,4501,6000,2018-07-04,2017-07-12
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Country,Taipei Representative Office in the UK,"Visit to Taipei From 31/10/2018 To 07/11/2018 Cost Met Flights, internal travel, accommodation and hospitality",13501,15000,2018-10-31,2018-11-26
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Country,Taipei Representative Office in the UK,Visit to Taipei From 15/09/2019 To 21/09/2019,28501,30000,2019-09-15,2019-10-18
All-Party Parliamentary Group on Yemen,To draw attention to issues impacting Yemen including the current civil war.,Country,Human Security Centre,Joint Secretariat From 06/07/2018 To 05/07/2019,1501,3000,2018-07-06,2018-09-12
All-Party Parliamentary Group on Yemen,To draw attention to issues impacting Yemen including the current civil war.,Country,Adalah Yemen,Joint Secretariat From 06/07/2018 To 05/07/2019,1501,3000,2018-07-06,2018-09-12
All-Party Parliamentary Group for 22q11 Syndrome,"To increase recognition and understanding of the Syndrome across policy makers and the medical profession. Eventually aiming for, once diagnosed, life-long health strategy for sufferers.",Subject,Max Appeal,Secretariat From 13/09/2018 To 12/09/2019,1501,3000,2018-09-13,2018-10-26
All-Party Parliamentary Group on Acquired Brain Injury,"To raise awareness of Acquired Brain Injury (ABI) and seek improvements in support and services for people with ABI and their carers; to provide a voice for people with ABI in Parliament; and to raise issues across health, social care and welfare which affect people living with ABI.",Subject,UK Acquired Brain Injury Forum,Secretariat From 16/10/2018 To 15/10/2019,1501,3000,2018-10-16,2018-12-06
All-Party Parliamentary Group for Adoption and Permanence,To amplify the voices and experiences of children and families engaged in adoption and other forms of permanence to inform parliamentarians and promote the development and implementation of effective policy and practice.  To provide an opportunity for the ambitious exploration of innovative solutions to enable adopted children and families to thrive.,Subject,Home for Good,Joint Secretariat From 11/02/2019 To 10/02/2020,4501,6000,2019-02-11,2019-03-07
All-Party Parliamentary Group for Adoption and Permanence,To amplify the voices and experiences of children and families engaged in adoption and other forms of permanence to inform parliamentarians and promote the development and implementation of effective policy and practice.  To provide an opportunity for the ambitious exploration of innovative solutions to enable adopted children and families to thrive.,Subject,Adoption UK,Joint Secretariat From 11/02/2019 To 10/02/2020 Cost Met `,3001,4500,2019-02-11,2019-03-07
All-Party Parliamentary Group for Adult Education,"To celebrate the contribution of adult education to the social, economic and cultural wellbeing of the UK and to develop new evidence to demonstrate its impact.",Subject,WEA,Reception,3001,4500,2018-10-16,2018-10-22
All-Party Parliamentary Group on Adult Social Care,"To act as a forum for members of the House of Commons and Lords to enagage with the wider adult social care sector, with the aim of engaging in a cross-party and non-partisan manner to influence government policy on the reform of the adult social care system.",Subject,PB Consulting,"PB Consulting is paid by the following organisations to act as the group's secretariat: Shared Lives Plus, Anchor Hanover, Choice Care Group, Care Tech, Skills for Care, Dimensions, Four Seasons Healthcare, and CIC From 23/04/2019 To 22/04/2020",39001,40500,2019-04-23,2019-05-17
All-Party Parliamentary Group for the Prevention of Adverse Childhood Experiences,"To create practical action, both inside and outside Parliament, to identify and promote policies for the prevention of adverse childhood experiences.",Subject,Wave Trust,Secretariat From 27/02/2019 To 26/02/2020,9001,10500,2019-02-27,2019-07-03
All-Party Parliamentary Group on Aerospace,To promote awareness of all aspects of the British Aerospace sector in parliament and government.,Subject,ADS,Reception,4501,6000,2019-05-14,2019-10-16
All-Party Parliamentary Group on Aerospace,To promote awareness of all aspects of the British Aerospace sector in parliament and government.,Subject,ADS,Secretariat From 17/07/2019 To 16/07/2020,1501,3000,2019-07-17,2019-10-16
All-Party Parliamentary Group for Ageing and Older People,To focus on current political and legislative issues before Parliament which affect older people.,Subject,Age UK,Secretariat From 18/07/2018 To 17/07/2019,4501,6000,2018-07-18,2018-10-24
All-Party Parliamentary Group on Agriculture and Food for Development,"To facilitate informed debate on food, agriculture and nutrition in the UK Parliament and engage with the Department for International Development, other donors and national governments on these issues.",Subject,Natural Resources Institute (University of Greenwich),Secretariat From 12/07/2018 To 11/07/2019,40501,42000,2018-07-12,2018-11-05
All-Party Parliamentary Group for the Ahmadiyya Muslim Community,To promote in Parliament the Ahmadiyya Muslim community and advance their interests in the UK and abroad.,Subject,Ahmadiyya Muslim Community UK,Secretariat From 19/07/2018 To 18/07/2019,1501,3000,2018-07-19,2018-11-19
All-Party Parliamentary Group for Air Ambulances,Raising the quality of care and effectiveness of air ambulances for patients through engagement with political leaders and policy makers.,Subject,Association of Air Ambulances Ltd,Secretariat From 18/07/2018 To 17/07/2019,1501,3000,2018-07-18,2019-01-18
All-Party Parliamentary Group for Air Passenger Duty Reform,"To encourage the UK government to cut the UK's Air Passenger Duty rate, thereby allowing the UK to compete on a level playing field with out European counterparts, boosting tourism, trade, jobs and growth.",Subject,Tendo Consulting,Tendo Consulting is paid by A Fair Tax on Flying Campaign to act as the group's secretariat From 26/02/2019 To 25/02/2020,10501,12000,2019-02-26,2019-03-21
All-Party Parliamentary Group on Air Pollution,"To bring together parliamentarians, experts, and stakeholders to discuss and promote measures to tackle poor air quality; and to work to raise the profile of both the problem and its solutions in Parliament.",Subject,Environmental Industries Commission,Secretariat From 06/09/2018 To 05/09/2019,6001,7500,2018-09-06,2018-12-11
All-Party Parliamentary Group on Alcohol Harm,To promote discussion of alcohol related issues and to raise issues of concern and make recommendations to government and other policy makers.,Subject,Alcohol Change Uk,Secretariat From 12/09/2019 To 11/09/2020,10501,12000,2019-09-12,2019-10-23
All-Party Parliamentary Group on Alternative Dispute Resolution,To help change the culture of dispute resolution in the country by providing a valuable forum within Parliament to discuss the latest development in Alternative Dispute Resolution and to promote its wider use.,Subject,Chartered Institute of Arbitrators,Visit to Singapore From 17/08/2019 To 24/08/2019,13501,15000,2019-08-17,2019-08-28
All-Party Parliamentary Group on Alternative Dispute Resolution,To help change the culture of dispute resolution in the country by providing a valuable forum within Parliament to discuss the latest development in Alternative Dispute Resolution and to promote its wider use.,Subject,Chartered Institute of Arbitrators,Secretariat From 06/09/2019 To 05/09/2020,4501,6000,2019-09-06,2019-10-29
All-Party Parliamentary Group on Alternative Investment Management,Raising awareness of the sector and its contribution to the UK economy; providing a forum to discuss development in investment strategy and the corresponding impact on UK pension endowments and direct lending; supporting the development of an effective and proportionate UK regulatory regime governing the industry.,Subject,Alternative Investment Management Association,Secretariat From 05/07/2019 To 04/07/2020,13501,15000,2019-07-05,2019-10-16
All-Party Parliamentary Group for the UK Aluminium Industry,To work with the Aluminium Federation (The UK Aluminium Industry's Trade Association) to represent the UK aluminium industry.,Subject,Aluminium Federation,Lunch held on 12/07/2018,4501,6000,2018-07-12,2018-08-08
All-Party Parliamentary Group for the UK Aluminium Industry,To work with the Aluminium Federation (The UK Aluminium Industry's Trade Association) to represent the UK aluminium industry.,Subject,Aluminium Federation,Secretariat From 13/07/2019 To 12/07/2020,1501,3000,2019-07-13,2019-11-05
All-Party Parliamentary Group for American Football,To support the sport of American football.,Subject,MR Sport,Secretariat From 06/09/2019 To 05/09/2020,6001,7500,2019-09-06,2019-10-30
All-Party Parliamentary Group on Antibiotics,"To raise the profile of, and keep MPs and Peers informed about, antibiotic resistance and of new treatments.  To raise the profile of the need to preserve antibiotics through education on their appropriate use, including non-human uses.  To accelerate efforts to discover, research and develop new treatments, including new drugs.",Subject,British Society for Antimicrobial Chemotherapy,Secretariat From 12/09/2018 To 11/09/2019,10501,12000,2018-09-12,2018-12-11
All-Party Parliamentary Group Against Antisemitism,To combat antisemitism and help develop and seek implementation of effective public policy to combat antisemitism.,Subject,Antisemitism Policy Trust,Secretariat From 27/06/2019 To 26/06/2020,34501,36000,2019-06-27,2019-09-05
All-Party Parliamentary Group on Apprenticeships,"To provide a forum for parliamentarians and employers to discuss how to promote the role of high quality apprenticeships, how to ensure that apprenticeships serve as a pathway to a career and how the apprenticeship model can meet the changing skill demands from businesses.",Subject,Connect,"Connect is paid by the following to act as the group’s secretariat: Battersea Power Station, KPMG, BAE Systems, Heathrow Microsoft, Amazon, Open University, London South Bank University and WMG at the University of Warwick From 11/07/2019 To 10/07/2020",49501,51000,2019-07-11,2019-10-24
All-Party Parliamentary Archaeology Group,To further the understanding of archaeology and promote archaeology and archaeological education.,Subject,Council for British Archaeology,Secretariat From 11/07/2018 To 10/07/2019,1501,3000,2018-07-11,2019-01-07
All-Party Parliamentary Group on Archives and History,The promotion and understanding of matters related to archives and history.,Subject,Archives and Records Association of UK & Ireland,Secretariat From 27/06/2019 To 26/06/2020,4501,6000,2019-06-27,2019-07-05
All-Party Parliamentary Group on Artificial Intelligence,To explore the impact and implications of artificial intelligence including machine learning.,Subject,Big Innovation Centre,"Evidence gathering, research, printing, workshops and panels. From 10/07/2017 To 09/07/2018",66001,67500,2017-07-10,2017-09-26
All-Party Parliamentary Group on Artificial Intelligence,To explore the impact and implications of artificial intelligence including machine learning.,Subject,Big Innovation Centre,Secretariat From 10/07/2019 To 09/07/2020,174001,175500,2019-07-10,2019-10-28
"All-Party Parliamentary Group on Arts, Health and Wellbeing","To enable backbench parliamentarians, of all parties and from both Houses, to be informed about significant practice in the field of arts, health and wellbeing; to provide a springboard for parliamentary action, such as debates and questions for oral and written answer and make policy recommendations.",Subject,"National Alliance for Arts, Health and Wellbeing",Secretariat From 28/06/2019 To 27/06/2020,6001,7500,2019-06-28,2019-07-28
All-Party Parliamentary Group for Assistive Technology,"To disseminate knowledge, generate debate and facilitate engagement on assistive technology amongst Members of both Houses of Parliament.",Subject,Policy Connect,Secretariat From 22/06/2019 To 21/06/2020,88501,90000,2019-06-22,2018-07-25
All-Party Parliamentary Group on Atrial Fibrillation,"To raise awareness of atrial fibrillation (AF) and ensure the diagnosis, management and treatment of AF is a priority of the NHS. To improve detection and management of AF in accordance with proven best practice.",Subject,AF Association,Secretariat From 12/09/2018 To 11/09/2019,3001,4500,2018-09-12,2018-10-10
All-Party Parliamentary Group for Attention Deficit Hyperactive Disorder,"To raise awareness of ADHD and its impact on those with the condition.  To help bring positive change to the lives of people living with ADHD. To share ideas, and act as a link between Parliament and organisations and charities involved with this issue.",Subject,ADHD Action,Secretariat From 24/01/2018 To 23/01/2019,4501,6000,2018-01-24,2018-01-31
All-Party Parliamentary Group on Autism,"To raise awareness of issues affecting people with autism and Asperger syndrome, their families and carers; to raise parliamentary awareness of autism; to campaign for changes to government policy to benefit people with autism and Asperger syndrome and improve diagnosis or support for people with autism and Asperger syndrome.",Subject,National Autistic Society,Secretariat From 11/07/2019 To 10/07/2020,9001,10500,2019-07-11,2019-11-05
All-Party Parliamentary Group on Axial Spondyloarthritis,"To raise awareness of Axial Spondyloarthritis, including Ankylosing Spondylitis, and strive for improved outcomes for all those who are affected by the condition.",Subject,M&F Health Communications,M&F Health Communications is paid by National Ankylosing Spondylitis Society and Novartis Pharmaceuticals UK Ltd to act as the group's secretariat,28501,30000,2019-03-19,2019-04-15
All-Party Parliamentary Group on Baby Loss,"To develop policy that supports families dealing with the grief and loss of a baby, and to raise awareness of what more can be done by the government, Parliament or other agencies to help those affected.",Subject,The Lullaby Trust,Baby Loss Awareness Week event held on 11/10/2017,4501,6000,2017-10-11,2018-07-12
All-Party Parliamentary Group on Baby Loss,"To develop policy that supports families dealing with the grief and loss of a baby, and to raise awareness of what more can be done by the government, Parliament or other agencies to help those affected.",Subject,The Lullaby Trust,The Lullaby Trust pays Drew Lindon Consulting Ltd to provide secretariat services to the group on its behalf From 18/07/2019 To 17/07/2020,6001,7500,2019-07-18,2019-06-27
All-Party Parliamentary Group on the Bahá'í Faith,"To raise awareness on the Bahá'í faith and the efforts of the Bahá'í community to contribute to British society, and to seek action in respect of the persecution of Bahá'ís in Iran and other instances where Bahá'ís are subject to discrimination on the grounds of their faith.",Subject,The Office of Public Affairs of the Bahá'í Community of the UK,Secretariat From 05/07/2017 To 04/07/2018,4501,6000,2017-07-05,2017-07-26
All-Party Parliamentary Group on Baseball and Softball,To support the sport of baseball and softball at all levels.,Subject,MR Sport,Secretariat From 23/05/2019 To 22/05/2020,6001,7500,2019-05-23,2019-10-30
"All-Party Parliamentary Group on Beauty, Aesthetics and Wellbeing","To provide a forum for parliamentary discussions on the issues around beauty.  To support the beauty industry, celebrate its economic contribution and discuss the challenges impacting the industry, particularly the need for more stringent regulations arounds cosmetic procedures.",Subject,Interel Consulting UK,Interel Consulting UK is paid by National Beauty Federation to act as the group's secretariat From 01/05/2019 To 30/04/2020,12001,13500,2019-05-01,2019-05-14
All-Party Parliamentary Group on Bingo,To represent the interests of the bingo industry in Parliament.,Subject,Political Lobbying and Media Relations,Secretariat From 11/09/2018 To 10/09/2019,1501,3000,2018-09-11,2018-10-01
"All-Party Parliamentary Group for Black, Asian and Minority Ethnic Business Owners","To bring together parliamentarians from all parties and both Houses with key players in Black, Asian and Minority Ethnic (BAME) businesses to promote the successful growth of BAME businesses across the UK.  A key aim is to promote an inclusive national strategy of policy, support and resources to enable the growth of BAME owned businesses for the benefit of the overall UK economy.",Subject,Chrouch Consulting,Secretariat From 06/03/2019 To 05/03/2020,10501,12000,2019-03-06,2019-04-03
All-Party Parliamentary Group on Blockchain,"To ensure that the United Kingdom plays a key role in the potential opportunities that blockchain can unlock for our economy, society, governance and the provision of public services.",Subject,Big Innovation Centre,"Big Innovation Centre is paid by CMS, SAP, Seal Software, Accord Projects, BSI, Accenture, IOTA and Oracle to act as the group's secretariat From 22/01/2019 To 21/01/2020",97501,99000,2019-01-22,2019-06-07
All-Party Parliamentary Group on Blood Cancer,"To raise awareness and promote the needs of blood cancer patients with Parliamentarians, government, NHS and charity stakeholders, and to create a forum for broader issues affecting blood cancer patients.",Subject,Bloodwise,Secretariat From 03/07/2019 To 02/07/2020,1501,3000,2019-07-03,2019-10-18
All-Party Parliamentary Group for Boxing,To engage with government and Parliament to support all aspects of boxing. To set out the benefits of boxing to individuals and wider society; reduce the barriers to participation in boxing; celebrate the success of our nation’s boxers; and highlight the potential for boxing to tackle urgent social needs in the UK.,Subject,Tristan Fitzgerald Associates Ltd,Secretariat From 18/07/2018 To 17/07/2019,48001,49500,2018-07-18,2018-08-21
All-Party Parliamentary Group on Brain Tumours,"To raise awareness of the issues facing the brain tumour community in order to improve research, diagnosis, information, support, treatment and care outcomes.",Subject,Brain Tumour Research,Brain Tumour Research acts as the APPG's secretariat and pays PB Political to help it fulfil that role. Brain Tumour Research is also assisted by Brain Tumour Charity for the same purpose. From 10/07/2019 To 09/07/2020,9001,10500,2019-07-10,2019-07-29
All-Party Parliamentary Group on Breast Cancer,"To raise the profile of breast cancer issues within parliament. The group provides a forum for MPs and Peers to discuss important issues affecting patients with breast cancer. It encourages dialogue between parliamentarians, government, the NHS and those living with or affected by the disease.",Subject,Breast Cancer Now,Secretariat From 18/07/2019 To 17/07/2020,7501,9000,2019-07-18,2019-09-26
All-Party Parliamentary Group for British Bioethanol,"To raise awareness of the industry, its economic impact, the supporting role it plays for British agriculture, and the environmental benefits of the bioethanol it produces. To promote the introduction of E10 fuel in the UK, help provide information and provide a greater understanding amongst parliamentarians and consumers.",Subject,Ensus,"Ensus provided financial and administrative assistance for an inquiry (compiling written evidence, organising oral evidence sessions, and drafting, publishing and launching a report). Ensus paid PoliMonitor to help them do this. From 01/05/2019 To 30/07/2019",3001,4500,2019-05-01,2019-09-06
British Council All-Party Parliamentary Group,"For parliamentarians to learn more about and better understand the British Council, and to support the British Council, offering advice and encouragement in both its everyday and long term work.",Subject,British Council,Secretariat From 18/07/2018 To 17/07/2019,27001,28500,2018-07-18,2018-08-17
All-Party Parliamentary Group on British Jews,"To promote understanding of the aspirations and challenges of the UK's Jewish community, with topics including religious freedom, faith based education, welfare and social justice. To celebrate the culture, contribution and achievements of the UK's Jewish community.",Subject,Board of Deputies of British Jews,Secretariat From 18/07/2018 To 17/07/2019,1501,3000,2018-07-18,2018-09-20
All-Party Parliamentary Group on Building Communities,"To promote the social value of placemaking and good design for communities.  The group focuses on how to improve community involvement in infrastructure, housing and other developments, and seeks to highlight the benefits of an upfront and informed approach to growth in local areas.",Subject,Association for Consultancy and Engineering,Secretariat From 18/06/2019 To 17/06/2020,6001,7500,2019-06-18,2018-07-09
All-Party Parliamentary Group for Excellence in the Built Environment,To promote excellence in the built environment.,Subject,Construction Industry Council,Secretariat From 12/09/2018 To 11/09/2019,1501,3000,2018-09-12,2019-07-08
All-Party Parliamentary Group for Business Support and Engagement,"To assess how businesses can be better supported by government, the private sector and third party organisations, and to utilise Parliament to provide engagement and networking forums for businesses, to help enhance existing, and develop new, supply chains between businesses; to share ethical business practices; and to promote corporate responsibility.",Subject,Sponsors' Alliance,Secretariat From 10/01/2019 To 09/01/2020,9001,10500,2019-01-10,2019-02-28
All-Party Parliamentary Group on Cancer,"To keep cancer on the political agenda, monitor implementation of government initiatives, provide briefings to parliamentarians, and ensure policy-making is evidence-based and patient-centred.",Subject,Macmillan Cancer Support,Secretariat From 01/01/2019 To 31/12/2019,39001,40500,2019-01-01,2019-04-30
All-Party Parliamentary Carbon Monoxide Group,"The APPG is the leading forum for Parliamentarians to discover, discuss and promote ways of tackling carbon monoxide poisoning in the UK.",Subject,Policy Connect,Secretariat From 05/09/2018 To 04/09/2019,100501,102000,2018-09-05,2018-11-20
All-Party Parliamentary Group on Carers,"To encourage equality of opportunity for carers in the UK, liaising with carers' organisations, lobbying governments and promoting legislation on their behalf, to promote awareness in Parliament of carers' and former carers' needs; to liaise with members of the UK's devolved administrations; to link with international bodies, including carers' organisations.",Subject,Carers UK,Secretariat From 09/01/2019 To 08/01/2020,3001,4500,2019-01-09,2018-02-06
All-Party Parliamentary Group on Cats,"The All-Party Parliamentary Group on Cats (APGOCATS) is a group of MPs, Peers and associate organisations with an interest in feline welfare, aiming to promote and further feline welfare. APGOCATS seeks to support discussion and debate about what the public, politicians and the government can do to further feline welfare.",Subject,Cats Protection,Secretariat From 06/03/2019 To 05/03/2020,1501,3000,2019-03-06,2019-08-06
All-Party Parliamentary Group for Challenger Banks and Building Societies,"To review the regulations of the banking and financial sector and to promote fair competition, removing entry barriers and encouraging diversity of service.",Subject,Barndoor Strategy,Secretariat From 21/05/2019 To 20/05/2020,4501,6000,2019-05-21,2019-06-14
All-Party Parliamentary Channel 4 Group,"To provide a forum for discussion of Channel 4's content, strategy and contribution to public service broadcasting in the UK, as well as wider relevant regulatory issues.",Subject,Channel 4,Secretariat From 06/09/2018 To 05/09/2019,1501,3000,2018-09-06,2018-11-12
All-Party Parliamentary Group on Charities and Volunteering,To provide a forum for discussing the issues affecting the voluntary and community sector.,Subject,Bates Wells Braithwaite,Reception held on 12/12/2018,1501,3000,2018-12-12,2018-12-14
All-Party Parliamentary Group on Charities and Volunteering,To provide a forum for discussing the issues affecting the voluntary and community sector.,Subject,NCVO,Reception held on 12/12/2018,3001,4500,2018-12-12,2018-12-14
All-Party Parliamentary Group on Charities and Volunteering,To provide a forum for discussing the issues affecting the voluntary and community sector.,Subject,National Council for Voluntary Organisations,Secretariat From 12/09/2018 To 11/09/2018,3001,4500,2018-09-12,2018-12-17
All-Party Parliamentary Group on Childcare and Early Education,To  provide a forum for parliamentarians to constructively examine and debate policy affecting non-maintained childcare and early education providers.,Subject,Connect PA,"Connect is paid by the following to act as the group's secretariat: The Foundation Stage Forum, Tops Day Nurseries (Hadland Care Group), Pre School Learning Alliance, National Day Nurseries, Cache. From 05/09/2018 To 04/09/2019",19501,21000,2018-09-05,2018-11-23
All-Party Parliamentary Group for Children,"To raise greater awareness in the Houses of Parliament of aspects of the well-being of the nation's children aged 0-18 years, and our obligations under the United Nations Convention on the Rights of the Child; and to work with children, young people, children's organisations, and politicians from all sides, to promote first-class government policy for children.",Subject,National Children's Bureau,Secretariat From 05/07/2019 To 04/07/2020,42001,43500,2019-07-05,2019-10-30
All-Party Parliamentary Group on Children in Wales,To consider issues of concern for children and young people in Wales.,Subject,Children in Wales,Secretariat From 13/09/2019 To 12/09/2020,1501,3000,2019-09-13,2019-11-05
All-Party Parliamentary Group for Children who need Palliative Care,"To inform policy which secures the best quality of life and death for the growing number of babies, children and young people with life-limiting or life-threatening conditions. To improve awareness of their needs and to make sure they are understood by those who can help, including government and parliament.",Subject,Together for Short Lives,Secretariat From 18/07/2019 To 17/07/2020,25501,27000,2019-07-18,2019-11-05
"All-Party Parliamentary Group on Children, Teenagers, and Young Adults with Cancer","To raise awareness of the issues affecting children, teenagers, and young adults with cancer and their families in Parliament.",Subject,CLIC Sargent,Joint Secretariat From 11/10/2018 To 10/10/2019,1501,3000,2018-10-11,2018-12-17
"All-Party Parliamentary Group on Children, Teenagers, and Young Adults with Cancer","To raise awareness of the issues affecting children, teenagers, and young adults with cancer and their families in Parliament.",Subject,Teenage Cancer Trust,Joint Secretariat From 11/10/2018 To 10/10/2019,1501,3000,2018-10-11,2018-12-17
All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Subject,Bible Society,Administrative assistance and event support From 01/07/2019 To 30/06/2020,37501,39000,2019-07-01,2019-07-26
All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Subject,Parliamentary Christian Trust,Administrative assistance and event support From 01/07/2019 To 30/06/2020,96001,97500,2019-07-01,2019-07-26
All-Party Parliamentary City Regions Transport Group,To promote parliamentary debate and promote discussion of transport issues in the metropolitan areas.,Subject,Urban Transport Group,Secretariat From 31/01/2019 To 30/01/2020,1501,3000,2019-01-31,2019-05-21
All-Party Parliamentary Group on Classical Music,"To bring together parliamentarians who have an interest in and wish to further the appreciation of classical music; to act as an interface between British orchestras' on and off-stage activities, the wider classical music industry, including broadcasters and the recording industry, and key decision makers and opinion formers; and to look at the potential for establishing parliamentary classical music awards and promoting the supporting young musicians.",Subject,Association of British Orchestras,Secretariat From 12/07/2019 To 11/07/2020,1501,3000,2019-07-12,2019-10-24
All-Party Parliamentary Climate Change Group,"To inform the climate change discussion between parliamentarians, business leaders, NGOs and academics, and to accelerate action to address it.",Subject,Policy Connect,Secretariat From 04/07/2019 To 03/07/2020,33001,34500,2019-07-04,2019-07-10
All-Party Parliamentary Group for the Commonwealth,"To inform Members about the Commonwealth Secretariat's developments to strengthen the Commonwealth network; to keep members aware of the range of non-parliamentary activities and programmes carried out underneath the Commonwealth brand, both on governmental and non-governmental levels; and to take advantage of opportunities within the developing Commonwealth network for Britain's political and commercial activities and for Britain's positioning in the new international landscape.",Subject,The Royal Commonwealth Society,Secretariat From 06/07/2017 To 05/07/2018,1501,3000,2017-07-06,2017-07-20
